Sample	Gigpad_ID	Lane	Index	ERCC_Mix	File_directory	Batch	Label	Reference_genome	Library_Type
003V_post	003V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
004V_post	004V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
006V_post	006V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
008V_post	008V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
009V_post	009V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
012V_post	012V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
013V_post	013V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
014V_post	014V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
015V_post	015V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
017V_post	017V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
018V_post	018V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
021V_post	021V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
022V_post	022V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
024V_post	024V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
027V_post	027V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
028V_post	028V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
029V_post	029V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
030V_post	030V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
031V_post	031V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
032V_post	032V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
033V_post	033V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
034V_post	034V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
035V_post	035V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
037V_post	037V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
039V_post	039V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
041V_post	041V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
042V_post	042V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
043V_post	043V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
044V_post	044V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
045V_post	045V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
046V_post	046V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
047V_post	047V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
048V_post	048V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
049V_post	049V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
050V_post	050V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
051V_post	051V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
052V_post	052V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
054V_post	054V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
055V_post	055V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
056V_post	056V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
060V_post	060V_post	1	CGATGT	-	/n/data1/hms/genetics/seidman/danny/RNASEQ/TRANSCRiBE268BamFiles/	transcribe	post	hg19	PE
