sample_id	file	total_mass	internal_scale	external_scale
post_0	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/003V_post.abundances.cxb	1.2917e+07	0.72977	1
post_1	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/004V_post.abundances.cxb	5.64874e+06	0.199257	1
post_2	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/006V_post.abundances.cxb	6.4376e+06	0.297117	1
post_3	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/008V_post.abundances.cxb	5.72327e+06	0.232211	1
post_4	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/009V_post.abundances.cxb	1.69446e+07	0.853622	1
post_5	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/012V_post.abundances.cxb	1.51654e+07	0.839348	1
post_6	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/013V_post.abundances.cxb	1.62722e+07	0.940285	1
post_7	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/014V_post.abundances.cxb	1.43643e+07	0.80697	1
post_8	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/015V_post.abundances.cxb	7.38175e+06	0.265981	1
post_9	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/017V_post.abundances.cxb	1.61995e+07	0.829947	1
post_10	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/018V_post.abundances.cxb	7.9255e+06	0.273998	1
post_11	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/021V_post.abundances.cxb	5.04813e+06	0.189534	1
post_12	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/022V_post.abundances.cxb	6.11754e+06	0.219583	1
post_13	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/024V_post.abundances.cxb	1.09696e+07	0.639843	1
post_14	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/027V_post.abundances.cxb	6.90199e+06	0.217861	1
post_15	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/028V_post.abundances.cxb	1.64286e+07	0.84639	1
post_16	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/029V_post.abundances.cxb	2.47102e+06	0.101298	1
post_17	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/030V_post.abundances.cxb	7.29668e+06	0.282968	1
post_18	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/031V_post.abundances.cxb	5.92998e+06	0.251593	1
post_19	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/032V_post.abundances.cxb	7.13429e+06	0.300531	1
post_20	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/033V_post.abundances.cxb	1.22167e+07	0.526883	1
post_21	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/034V_post.abundances.cxb	9.23795e+06	0.354543	1
post_22	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/035V_post.abundances.cxb	8.38738e+06	0.328097	1
post_23	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/037V_post.abundances.cxb	1.25929e+06	0.0442189	1
post_24	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/039V_post.abundances.cxb	1.45315e+06	0.0529148	1
post_25	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/041V_post.abundances.cxb	2.38185e+06	0.0912347	1
post_26	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/042V_post.abundances.cxb	1.59086e+07	0.887166	1
post_27	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/043V_post.abundances.cxb	1.41588e+06	0.0474077	1
post_28	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/044V_post.abundances.cxb	6.84036e+06	0.228459	1
post_29	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/045V_post.abundances.cxb	1.54146e+06	0.0584969	1
post_30	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/046V_post.abundances.cxb	5.57572e+06	0.252074	1
post_31	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/047V_post.abundances.cxb	2.1944e+07	0.989252	1
post_32	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/048V_post.abundances.cxb	1.97869e+07	1.13528	1
post_33	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/049V_post.abundances.cxb	3.80409e+07	2.12078	1
post_34	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/050V_post.abundances.cxb	3.82086e+07	2.19265	1
post_35	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/051V_post.abundances.cxb	3.75342e+07	1.99744	1
post_36	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/052V_post.abundances.cxb	3.66514e+06	0.221349	1
post_37	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/054V_post.abundances.cxb	3.10238e+07	1.75956	1
post_38	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/055V_post.abundances.cxb	7.94109e+06	0.301939	1
post_39	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/056V_post.abundances.cxb	4.76524e+07	3.23559	1
post_40	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/060V_post.abundances.cxb	1.65367e+07	0.806555	1
post_41	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/061V_post.abundances.cxb	3.03047e+07	1.74951	1
post_42	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/062V_post.abundances.cxb	9.45875e+06	0.460726	1
post_43	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/063V_post.abundances.cxb	8.81819e+06	0.457125	1
post_44	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/064V_post.abundances.cxb	3.71225e+07	2.23158	1
post_45	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/065V_post.abundances.cxb	3.55452e+07	2.11545	1
post_46	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/066V_post.abundances.cxb	2.89754e+07	1.71336	1
post_47	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/067V_post.abundances.cxb	1.3526e+07	0.773509	1
post_48	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/068V_post.abundances.cxb	2.86922e+07	1.47866	1
post_49	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/069V_post.abundances.cxb	2.62565e+07	1.39186	1
post_50	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/070V_post.abundances.cxb	3.80118e+07	1.91521	1
post_51	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/071V_post.abundances.cxb	2.91608e+07	1.67442	1
post_52	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/074V_post.abundances.cxb	2.79662e+07	1.51971	1
post_53	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/076V_post.abundances.cxb	2.27059e+07	1.24355	1
post_54	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/078V_post.abundances.cxb	2.42071e+07	1.3927	1
post_55	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/079V_post.abundances.cxb	2.21757e+07	1.21093	1
post_56	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/080V_post.abundances.cxb	2.96878e+07	1.55536	1
post_57	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/081V_post.abundances.cxb	1.66296e+07	0.955536	1
post_58	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/082V_post.abundances.cxb	1.40563e+07	0.828124	1
post_59	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/086V_post.abundances.cxb	1.25517e+07	0.74676	1
post_60	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/088V_post.abundances.cxb	2.74192e+07	1.593	1
post_61	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/089V_post.abundances.cxb	2.57949e+07	1.48777	1
post_62	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/092V_post.abundances.cxb	3.04812e+07	1.70637	1
post_63	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/093V_post.abundances.cxb	2.49686e+07	1.40556	1
post_64	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/096V_post.abundances.cxb	6.65983e+06	0.389568	1
post_65	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/098V_post.abundances.cxb	2.83006e+07	1.53001	1
post_66	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/099V_post.abundances.cxb	3.08963e+07	1.6773	1
post_67	/n/data1/hms/genetics/seidman/danny/RNASEQ/alextwc/20160912Cuffquant/CXBfiles/100V_post.abundances.cxb	3.39374e+07	2.00022	1
